ifd0_make#ifd0_model#ifd0_Orientation#Count
1#1##1357
1#1#0#31
4#1883#1 = Row 0: top, Col 0: left#14
4#1884#1 = Row 0: top, Col 0: left#84
4#1884#6 = Row 0: right, Col 0: top#4
4#1903##24
4#1903#1 = Row 0: top, Col 0: left#268
4#1903#6 = Row 0: right, Col 0: top#17
4#1903#8 = Row 0: left, Col 0: botto#7
4#1936#1 = Row 0: top, Col 0: left#33
4#1936#6 = Row 0: right, Col 0: top#2
4#1955##28
4#1955#1 = Row 0: top, Col 0: left#281
4#1955#6 = Row 0: right, Col 0: top#9
4#1962#1 = Row 0: top, Col 0: left#140
4#1962#6 = Row 0: right, Col 0: top#3
4#1962#8 = Row 0: left, Col 0: botto#17
4#1988##15
4#1988#1 = Row 0: top, Col 0: left#143
4#1988#6 = Row 0: right, Col 0: top#2
4#1988#8 = Row 0: left, Col 0: botto#1
4#2039#1 = Row 0: top, Col 0: left#116
4#2039#6 = Row 0: right, Col 0: top#27
4#2039#8 = Row 0: left, Col 0: botto#8
4#2084##7
4#2084#1 = Row 0: top, Col 0: left#14
4#2096#1 = Row 0: top, Col 0: left#169
4#2096#6 = Row 0: right, Col 0: top#38
4#2096#8 = Row 0: left, Col 0: botto#1
4#2100##1
4#2100#1 = Row 0: top, Col 0: left#171
4#2100#6 = Row 0: right, Col 0: top#19
4#2100#8 = Row 0: left, Col 0: botto#1
4#2104#1 = Row 0: top, Col 0: left#14
4#2104#8 = Row 0: left, Col 0: botto#2
4#2106##1
4#2106#1 = Row 0: top, Col 0: left#263
4#2107#1 = Row 0: top, Col 0: left#40
4#2108#1 = Row 0: top, Col 0: left#30
4#2108#6 = Row 0: right, Col 0: top#3
4#2108#8 = Row 0: left, Col 0: botto#3
4#2109#1 = Row 0: top, Col 0: left#258
4#2109#6 = Row 0: right, Col 0: top#12
4#2109#8 = Row 0: left, Col 0: botto#4
4#2123#1 = Row 0: top, Col 0: left#221
4#2123#6 = Row 0: right, Col 0: top#3
